tablename,unique_schemes
rc_beneficiary,1
rc_beneficiary_303,1
rc_beneficiary_304,1
rc_beneficiary_305,1
rc_beneficiary_306,1
rc_beneficiary_307,1
rc_beneficiary_308,1
rc_beneficiary_309,1
rc_beneficiary_310,1
rc_beneficiary_311,1
rc_beneficiary_312,1
rc_beneficiary_313,1
rc_beneficiary_314,1
rc_beneficiary_315,1
rc_beneficiary_316,1
rc_beneficiary_317,1
rc_beneficiary_318,1
rc_beneficiary_319,1
rc_beneficiary_320,1
rc_beneficiary_321,1
rc_beneficiary_664,1
rc_beneficiary_702,1
rc_beneficiary_703,1
rc_beneficiary_704,1
rc_beneficiary_mask_000,0
scheme_beneficiary_cash,54 partition is based on district  code 
scheme_beneficiary_cash_303,38   303 is district code 
scheme_beneficiary_cash_304,41
scheme_beneficiary_cash_305,44
scheme_beneficiary_cash_306,39
scheme_beneficiary_cash_307,38
scheme_beneficiary_cash_308,37
scheme_beneficiary_cash_309,40
scheme_beneficiary_cash_310,41
scheme_beneficiary_cash_311,42
scheme_beneficiary_cash_312,44
scheme_beneficiary_cash_313,33
scheme_beneficiary_cash_314,38
scheme_beneficiary_cash_315,33
scheme_beneficiary_cash_316,43
scheme_beneficiary_cash_317,42
scheme_beneficiary_cash_318,43
scheme_beneficiary_cash_319,42
scheme_beneficiary_cash_320,41
scheme_beneficiary_cash_321,43
scheme_beneficiary_cash_664,40
scheme_beneficiary_cash_702,39
scheme_beneficiary_cash_703,43
scheme_beneficiary_cash_704,39
scheme_beneficiary_cash_mask_000,0
scheme_transaction_cash_2526,28
scheme_transaction_cash_2526_303,22
scheme_transaction_cash_2526_304,24
scheme_transaction_cash_2526_305,24
scheme_transaction_cash_2526_306,22
scheme_transaction_cash_2526_307,25
scheme_transaction_cash_2526_308,22
scheme_transaction_cash_2526_309,21
scheme_transaction_cash_2526_310,24
scheme_transaction_cash_2526_311,25
scheme_transaction_cash_2526_312,24
scheme_transaction_cash_2526_313,18
scheme_transaction_cash_2526_314,20
scheme_transaction_cash_2526_315,17
scheme_transaction_cash_2526_316,24
scheme_transaction_cash_2526_317,24
scheme_transaction_cash_2526_318,24
scheme_transaction_cash_2526_319,24
scheme_transaction_cash_2526_320,23
scheme_transaction_cash_2526_321,25
scheme_transaction_cash_2526_664,23
scheme_transaction_cash_2526_702,19
scheme_transaction_cash_2526_703,22
scheme_transaction_cash_2526_704,23
scheme_transaction_cash_mask_2526_000,0
swasthya_sathi_beneficiary,1
swasthya_sathi_beneficiary_000,0
swasthya_sathi_beneficiary_303,1
swasthya_sathi_beneficiary_304,1
swasthya_sathi_beneficiary_305,1
swasthya_sathi_beneficiary_306,1
swasthya_sathi_beneficiary_307,1
swasthya_sathi_beneficiary_308,1
swasthya_sathi_beneficiary_309,1
swasthya_sathi_beneficiary_310,1
swasthya_sathi_beneficiary_311,1
swasthya_sathi_beneficiary_312,1
swasthya_sathi_beneficiary_313,1
swasthya_sathi_beneficiary_314,1
swasthya_sathi_beneficiary_315,1
swasthya_sathi_beneficiary_316,1
swasthya_sathi_beneficiary_317,1
swasthya_sathi_beneficiary_318,1
swasthya_sathi_beneficiary_319,1
swasthya_sathi_beneficiary_320,1
swasthya_sathi_beneficiary_321,1
swasthya_sathi_beneficiary_664,1
swasthya_sathi_beneficiary_702,1
swasthya_sathi_beneficiary_703,1
swasthya_sathi_beneficiary_704,1
swasthya_sathi_transaction_2526,1
swasthya_sathi_transaction_2526_000,0
swasthya_sathi_transaction_2526_303,1
swasthya_sathi_transaction_2526_304,1
swasthya_sathi_transaction_2526_305,1
swasthya_sathi_transaction_2526_306,1
swasthya_sathi_transaction_2526_307,1
swasthya_sathi_transaction_2526_308,1
swasthya_sathi_transaction_2526_309,1
swasthya_sathi_transaction_2526_310,1
swasthya_sathi_transaction_2526_311,1
swasthya_sathi_transaction_2526_312,1
swasthya_sathi_transaction_2526_313,1
swasthya_sathi_transaction_2526_314,1
swasthya_sathi_transaction_2526_315,1
swasthya_sathi_transaction_2526_316,1
swasthya_sathi_transaction_2526_317,1
swasthya_sathi_transaction_2526_318,1
swasthya_sathi_transaction_2526_319,1
swasthya_sathi_transaction_2526_320,1
swasthya_sathi_transaction_2526_321,1
swasthya_sathi_transaction_2526_664,1
swasthya_sathi_transaction_2526_702,1
swasthya_sathi_transaction_2526_703,1
swasthya_sathi_transaction_2526_704,1
